Crm_Cd_Desc_alias,Incidents
THEFT OF IDENTITY,22670
BATTERY - SIMPLE ASSAULT,19694
BURGLARY FROM VEHICLE,13799
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",13215
INTIMATE PARTNER - SIMPLE ASSAULT,11981
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),11484
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",10719
THEFT PLAIN - PETTY ($950 & UNDER),10603
BURGLARY,10268
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",7057
ROBBERY,6470
CRIMINAL THREATS - NO WEAPON DISPLAYED,5133
VANDALISM - MISDEAMEANOR ($399 OR UNDER),4090
BRANDISH WEAPON,3662
INTIMATE PARTNER - AGGRAVATED ASSAULT,3129
VIOLATION OF RESTRAINING ORDER,3048
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),3018
SHOPLIFTING - PETTY THEFT ($950 & UNDER),2786
TRESPASSING,2207
"BUNCO, GRAND THEFT",1755
VIOLATION OF COURT ORDER,1662
BIKE - STOLEN,1559
PICKPOCKET,1217
OTHER MISCELLANEOUS CRIME,1128
"THEFT, PERSON",1086
OTHER ASSAULT,1058
ATTEMPTED ROBBERY,1027
VEHICLE - ATTEMPT STOLEN,789
DOCUMENT FORGERY / STOLEN FELONY,727
"BURGLARY, ATTEMPTED",707
CONTEMPT OF COURT,696
EXTORTION,626
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),608
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),481
"BUNCO, PETTY THEFT",470
DISTURBING THE PEACE,407
CRIMINAL HOMICIDE,392
SHOTS FIRED AT INHABITED DWELLING,368
ARSON,334
INDECENT EXPOSURE,307
VIOLATION OF TEMPORARY RESTRAINING ORDER,246
KIDNAPPING,213
STALKING,198
THEFT FROM MOTOR VEHICLE - ATTEMPT,177
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",176
ORAL COPULATION,172
THROWING OBJECT AT MOVING VEHICLE,164
"BURGLARY FROM VEHICLE, ATTEMPTED",161
BATTERY POLICE (SIMPLE),144
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",127
DISCHARGE FIREARMS/SHOTS FIRED,117
UNAUTHORIZED COMPUTER ACCESS,117
FAILURE TO YIELD,104
THREATENING PHONE CALLS/LETTERS,101
FALSE IMPRISONMENT,93
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",75
"BUNCO, ATTEMPT",75
VEHICLE - STOLEN,73
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,60
THEFT PLAIN - ATTEMPT,57
KIDNAPPING - GRAND ATTEMPT,56
PROWLER,55
BATTERY ON A FIREFIGHTER,53
RESISTING ARREST,51
CRUELTY TO ANIMALS,37
THEFT FROM PERSON - ATTEMPT,32
"CREDIT CARDS, FRAUD USE ($950 & UNDER",31
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,29
BOMB SCARE,27
PIMPING,26
PURSE SNATCHING,24
FALSE POLICE REPORT,18
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",17
CONTRIBUTING,16
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",13
COUNTERFEIT,12
RECKLESS DRIVING,12
DRUNK ROLL,12
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",12
DOCUMENT WORTHLESS ($200.01 & OVER),11
DRIVING WITHOUT OWNER CONSENT (DWOC),9
PANDERING,9
ILLEGAL DUMPING,8
SHOPLIFTING - ATTEMPT,7
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",6
DISHONEST EMPLOYEE - GRAND THEFT,6
WEAPONS POSSESSION/BOMBING,6
BLOCKING DOOR INDUCTION CENTER,4
DOCUMENT WORTHLESS ($200 & UNDER),4
PURSE SNATCHING - ATTEMPT,4
TELEPHONE PROPERTY - DAMAGE,3
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",2
CONSPIRACY,2
DISHONEST EMPLOYEE - PETTY THEFT,2
TILL TAP - PETTY ($950 & UNDER),2
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",2
DISRUPT SCHOOL,1
DISHONEST EMPLOYEE ATTEMPTED THEFT,1
BRIBERY,1
BIGAMY,1
